com.samsung.shealth.stand_day_summary,6211031,1
stand_time,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
5351424,2021-05-16 02:46:36.250,2021-05-15 12:19:25.858,j9zBUHWfhn,com.sec.android.app.shealth,5cc6a2f0-eefa-6d70-3cb5-2563299a81ea,1621036800000,
40960,2022-03-16 08:14:03.582,2022-03-16 00:35:55.366,j9zBUHWfhn,com.sec.android.app.shealth,f7062ea8-a39c-2c2c-9e7a-d46da93a6fe8,1647388800000,
6427648,2021-11-17 03:04:36.260,2021-11-16 12:50:38.800,j9zBUHWfhn,com.sec.android.app.shealth,617c2d9b-d2d0-f620-7af7-f2c6647b304f,1637020800000,
5376000,2021-04-20 02:34:01.328,2021-04-19 12:25:24.433,j9zBUHWfhn,com.sec.android.app.shealth,d09ee2ef-e40a-6841-e750-5abb2d70f16e,1618790400000,
0,2022-03-22 10:08:13.500,2022-03-22 10:08:13.500,j9zBUHWfhn,com.sec.android.app.shealth,cc0f6524-adb8-8bce-4fce-8802670b3f30,1647907200000,
1181696,2021-11-24 01:22:31.276,2021-11-23 12:40:25.091,j9zBUHWfhn,com.sec.android.app.shealth,820e9f9c-4ac9-4a1d-1b16-2116d03ac946,1637625600000,
65536,2021-07-15 20:56:53.636,2021-07-15 17:50:03.818,j9zBUHWfhn,com.sec.android.app.shealth,f87e9b25-193e-4c1d-7846-a5f6bb45afa9,1626307200000,
132096,2021-03-02 22:30:24.248,2021-03-02 13:09:18.034,j9zBUHWfhn,com.sec.android.app.shealth,c8275b04-04ab-a657-c76f-81cc13793696,1614643200000,
300032,2021-06-15 22:14:37.233,2021-06-15 12:19:34.098,j9zBUHWfhn,com.sec.android.app.shealth,09a0640b-ac78-be40-c78e-88c86504268d,1623715200000,
136192,2021-09-21 21:24:45.251,2021-09-21 12:24:29.851,j9zBUHWfhn,com.sec.android.app.shealth,6cb30fbf-8315-3f2c-38fe-3d2d057903a4,1632182400000,
6291456,2021-07-05 02:58:29.293,2021-07-04 13:33:54.194,j9zBUHWfhn,com.sec.android.app.shealth,1b267b0e-b78b-8f06-f8ae-cc87b68045fb,1625356800000,
299008,2021-01-14 23:27:40.203,2021-01-14 13:29:52.038,j9zBUHWfhn,com.sec.android.app.shealth,94239b34-916e-a88d-5ed8-af88fe67f48e,1610582400000,
1048576,2021-10-16 18:06:10.231,2021-10-16 10:00:42.154,j9zBUHWfhn,com.sec.android.app.shealth,32937d74-2b48-175a-b188-5c5ad5d4974b,1634342400000,
674816,2021-12-14 00:54:48.312,2021-12-13 13:06:28.425,j9zBUHWfhn,com.sec.android.app.shealth,dd019344-b5bc-5008-c18f-947b5786898a,1639353600000,
0,2021-10-15 18:12:29.521,2021-10-15 18:12:29.521,j9zBUHWfhn,com.sec.android.app.shealth,f29c0c45-12cc-0c1d-8a68-e3ed85b3890a,1634256000000,
2115584,2021-08-10 01:13:27.246,2021-08-09 11:51:09.123,j9zBUHWfhn,com.sec.android.app.shealth,f3302ae1-4a1c-a60c-3f79-5e2a8e504c21,1628467200000,
5441536,2021-11-25 03:54:28.304,2021-11-24 13:13:18.241,j9zBUHWfhn,com.sec.android.app.shealth,98e1435a-c863-3524-3abf-8b09fb053118,1637712000000,
102400,2021-06-07 20:50:26.596,2021-06-07 12:35:32.898,j9zBUHWfhn,com.sec.android.app.shealth,30b9f56e-8bbe-b1df-f020-6d91d783b566,1623024000000,
428032,2021-04-29 22:53:04.217,2021-04-29 12:57:22.820,j9zBUHWfhn,com.sec.android.app.shealth,0906a43d-a40c-c0b3-c64b-95269f37b3f6,1619654400000,
167936,2020-10-25 21:38:48.269,2020-10-25 13:41:40.152,j9zBUHWfhn,com.sec.android.app.shealth,8edacecd-f36a-af97-784c-5cb111f0a3c0,1603584000000,
2048,2021-08-03 15:55:05.681,2021-08-03 12:43:05.274,j9zBUHWfhn,com.sec.android.app.shealth,bc8130af-4f1d-c306-7c1e-793be2c23f9b,1627948800000,
